time,mouse_x,mouse_y
1712571573.309,496,1151
1712571574.311,496,1151
1712571575.320,496,1151
1712571576.321,496,1151
1712571577.323,496,1151
1712571578.325,496,1151
1712571579.327,496,1151
1712571580.328,496,1151
1712571581.330,496,1151
1712571582.332,496,1151
1712571583.334,496,1151
1712571584.335,496,1151
1712571585.337,496,1151
1712571586.339,496,1151
1712571587.341,496,1151
1712571588.343,496,1151
1712571589.344,496,1151
1712571590.346,496,1151
1712571591.348,496,1151
1712571592.350,496,1151
1712571593.351,496,1151
1712571594.353,496,1151
1712571595.361,496,1151
1712571596.363,496,1151
1712571597.365,496,1151
1712571598.369,496,1151
1712571599.371,496,1151
1712571600.373,496,1151
1712571601.376,496,1151
1712571602.378,496,1151
1712571603.379,496,1151
1712571604.381,496,1151
1712571605.383,496,1151
1712571606.385,496,1151
1712571607.387,496,1151
1712571608.389,496,1151
1712571609.390,496,1151
1712571610.392,496,1151
1712571611.394,496,1151
1712571612.396,496,1151
1712571613.398,496,1151
1712571614.402,496,1151
1712571615.404,496,1151
1712571616.406,496,1151
1712571617.408,496,1151
1712571618.410,496,1151
1712571619.411,496,1151
1712571620.413,496,1151
1712571621.415,496,1151
1712571622.417,496,1151
1712571623.418,496,1151
1712571624.420,496,1151
1712571625.427,496,1151
1712571626.429,496,1151
1712571627.431,496,1151
1712571628.434,496,1151
1712571629.436,496,1151
1712571630.438,496,1151
1712571631.440,496,1151
1712571632.442,496,1151
1712571633.443,496,1151
1712571634.445,496,1151
1712571635.447,496,1151
1712571636.449,496,1151
1712571637.451,496,1151
1712571638.453,496,1151
1712571639.455,496,1151
1712571640.456,496,1151
1712571641.458,496,1151
1712571642.460,496,1151
1712571643.462,496,1151
1712571644.476,496,1151
1712571645.478,496,1151
1712571646.488,496,1151
1712571647.490,496,1151
1712571648.492,496,1151
1712571649.494,496,1151
1712571650.496,496,1151
1712571651.498,496,1151
1712571652.499,496,1151
1712571653.501,496,1151
1712571654.503,496,1151
1712571655.505,496,1151
1712571656.507,496,1151
1712571657.509,496,1151
1712571658.510,496,1151
1712571659.512,496,1151
1712571660.514,496,1151
1712571661.516,496,1151
1712571662.518,496,1151
1712571663.519,496,1151
1712571664.521,496,1151
1712571665.523,496,1151
1712571666.525,496,1151
1712571667.527,496,1151
1712571668.529,496,1151
1712571669.531,496,1151
1712571670.532,496,1151
1712571671.534,496,1151
1712571672.536,496,1151
1712571673.538,496,1151
1712571674.540,496,1151
1712571675.541,496,1151
1712571676.543,496,1151
1712571677.545,496,1151
1712571678.547,496,1151
1712571679.549,496,1151
1712571680.573,496,1151
1712571681.596,496,1151
1712571682.599,496,1151
1712571683.607,496,1151
1712571684.626,496,1151
1712571685.628,496,1151
1712571686.645,496,1151
1712571687.665,496,1151
1712571688.667,496,1151
1712571689.669,496,1151
1712571690.671,496,1151
1712571691.676,496,1151
1712571692.681,496,1151
1712571693.683,496,1151
1712571694.685,496,1151
1712571695.693,496,1151
1712571696.695,496,1151
1712571697.696,496,1151
1712571698.698,496,1151
1712571699.700,496,1151
1712571700.702,496,1151
1712571701.704,496,1151
1712571702.706,496,1151
1712571703.707,496,1151
1712571704.709,496,1151
1712571705.711,496,1151
1712571706.713,496,1151
1712571707.715,496,1151
